title,content_rating,budget,gross,imdb_score,facenumber_in_poster,num_critic_for_reviews,num_voted_users,num_user_for_reviews,movie_facebook_likes,cast_total_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,director_facebook_likes,genre,actors,year,revenue_millions,runtime_minutes,rating,votes
Mission: Impossible - Rogue Nation,PG-13,150000000.0,195000874.0,7.4,0.0,465.0,232187,440.0,47000,21840,10000.0,10000.0,641.0,188.0,"Action,Adventure,Thriller","Tom Cruise, Rebecca Ferguson, Jeremy Renner, Simon Pegg",2015,195.0,131,7.4,257472
Mission: Impossible III,PG-13,150000000.0,133382309.0,6.9,0.0,310.0,256695,871.0,0,34817,22000.0,10000.0,979.0,14000.0,"Action,Adventure,Thriller","Tom Cruise, Michelle Monaghan, Ving Rhames, Philip Seymour Hoffman",2006,133.38,126,6.9,270429
White House Down,PG-13,150000000.0,73103784.0,6.4,2.0,339.0,164238,434.0,33000,18204,17000.0,551.0,256.0,776.0,"Action,Drama,Thriller","Channing Tatum, Jamie Foxx, Maggie Gyllenhaal,Jason Clarke",2013,73.1,131,6.4,173320
Pan,PG,150000000.0,34964818.0,5.8,4.0,256.0,39956,186.0,24000,21393,20000.0,548.0,394.0,456.0,"Adventure,Family,Fantasy","Levi Miller, Hugh Jackman, Garrett Hedlund, Rooney Mara",2015,34.96,111,5.8,47804
Pan,PG,150000000.0,34964818.0,5.8,4.0,256.0,39956,186.0,24000,21393,20000.0,548.0,394.0,456.0,"Adventure,Family,Fantasy","Levi Miller, Hugh Jackman, Garrett Hedlund, Rooney Mara",2015,34.96,111,5.8,47804
Pan,PG,150000000.0,34964818.0,5.8,4.0,256.0,39975,186.0,24000,21404,20000.0,559.0,394.0,456.0,"Adventure,Family,Fantasy","Levi Miller, Hugh Jackman, Garrett Hedlund, Rooney Mara",2015,34.96,111,5.8,47804
Ghostbusters,PG-13,144000000.0,118099659.0,5.5,4.0,464.0,69757,1211.0,62000,2097,783.0,370.0,322.0,176.0,"Action,Comedy,Fantasy","Melissa McCarthy, Kristen Wiig, Kate McKinnon, Leslie Jones",2016,128.34,116,5.3,147717
Ghostbusters,PG-13,144000000.0,118099659.0,5.5,4.0,464.0,69790,1211.0,62000,2097,783.0,370.0,322.0,176.0,"Action,Comedy,Fantasy","Melissa McCarthy, Kristen Wiig, Kate McKinnon, Leslie Jones",2016,128.34,116,5.3,147717
Beowulf,PG-13,150000000.0,82161969.0,6.3,1.0,287.0,142440,505.0,3000,31523,18000.0,12000.0,964.0,0.0,"Animation,Action,Adventure","Ray Winstone, Crispin Glover, Angelina Jolie,Robin Wright",2007,82.16,115,6.2,146566
Kung Fu Panda 3,PG,145000000.0,143523463.0,7.2,0.0,210.0,64322,145.0,24000,36095,24000.0,11000.0,967.0,5.0,"Animation,Action,Adventure","Jack Black, Bryan Cranston, Dustin Hoffman, Angelina Jolie",2016,143.52,95,7.2,89791
Mission: Impossible - Ghost Protocol,PG-13,145000000.0,209364921.0,7.4,3.0,432.0,365104,512.0,35000,21768,10000.0,10000.0,690.0,663.0,"Action,Adventure,Thriller","Tom Cruise, Jeremy Renner, Simon Pegg, Paula Patton",2011,209.36,132,7.4,382459
Exodus: Gods and Kings,PG-13,140000000.0,65007045.0,6.1,0.0,314.0,128682,657.0,51000,26490,23000.0,893.0,748.0,0.0,"Action,Adventure,Drama","Christian Bale, Joel Edgerton, Ben Kingsley, Sigourney Weaver",2014,65.01,150,6.0,137299
Exodus: Gods and Kings,PG-13,140000000.0,65007045.0,6.1,0.0,314.0,128694,657.0,51000,26489,23000.0,892.0,748.0,0.0,"Action,Adventure,Drama","Christian Bale, Joel Edgerton, Ben Kingsley, Sigourney Weaver",2014,65.01,150,6.0,137299
Star Trek,PG-13,150000000.0,257704099.0,8.0,0.0,518.0,504419,1559.0,19000,39284,26000.0,12000.0,981.0,14000.0,"Action,Adventure,Sci-Fi","Chris Pine, Zachary Quinto, Simon Pegg, Leonard Nimoy",2009,257.7,127,8.0,526324
How to Train Your Dragon 2,PG,145000000.0,176997107.0,7.9,5.0,292.0,221128,343.0,46000,23378,18000.0,3000.0,953.0,255.0,"Animation,Action,Adventure","Jay Baruchel, Cate Blanchett, Gerard Butler, Craig Ferguson",2014,177.0,102,7.9,237565
Gods of Egypt,PG-13,140000000.0,31141074.0,5.5,4.0,184.0,51892,273.0,24000,19769,18000.0,934.0,284.0,295.0,"Action,Adventure,Fantasy","Brenton Thwaites, Nikolaj Coster-Waldau, Gerard Butler, Chadwick Boseman",2016,31.14,126,5.5,73568
Watchmen,R,130000000.0,107503316.0,7.7,1.0,451.0,392474,1229.0,18000,2530,986.0,745.0,413.0,0.0,"Action,Drama,Mystery","Jackie Earle Haley, Patrick Wilson, Carla Gugino,Malin Akerman",2009,107.5,162,7.6,410249
G.I. Joe: Retaliation,PG-13,130000000.0,122512052.0,5.8,6.0,351.0,146352,288.0,42000,31958,17000.0,12000.0,934.0,209.0,"Action,Adventure,Sci-Fi","Dwayne Johnson, Channing Tatum, Adrianne Palicki,Byung-hun Lee",2013,122.51,110,5.8,152145
Captain America: The First Avenger,PG-13,140000000.0,176636816.0,6.9,0.0,510.0,508818,679.0,46000,19761,11000.0,3000.0,2000.0,394.0,"Action,Adventure,Sci-Fi","Chris Evans, Hugo Weaving, Samuel L. Jackson,Hayley Atwell",2011,176.64,124,6.9,547368
The Twilight Saga: Breaking Dawn - Part 2,PG-13,120000000.0,292298923.0,5.5,3.0,322.0,185394,329.0,65000,59177,21000.0,17000.0,12000.0,386.0,"Adventure,Drama,Fantasy","Kristen Stewart, Robert Pattinson, Taylor Lautner, Peter Facinelli",2012,292.3,115,5.5,194329
The Twilight Saga: Breaking Dawn - Part 2,PG-13,120000000.0,292298923.0,5.5,3.0,322.0,185394,329.0,65000,59177,21000.0,17000.0,12000.0,386.0,"Adventure,Drama,Fantasy","Kristen Stewart, Robert Pattinson, Taylor Lautner, Peter Facinelli",2012,292.3,115,5.5,194329
The Incredible Hulk,PG-13,150000000.0,134518390.0,6.8,0.0,354.0,326286,643.0,0,5811,3000.0,1000.0,882.0,255.0,"Action,Adventure,Sci-Fi","Edward Norton, Liv Tyler, Tim Roth, William Hurt",2008,134.52,112,6.8,342355
The BFG,PG,140000000.0,52792307.0,6.8,0.0,252.0,12572,106.0,27000,1950,535.0,400.0,358.0,14000.0,"Adventure,Family,Fantasy","Mark Rylance, Ruby Barnhill, Penelope Wilton,Jemaine Clement",2016,55.47,117,6.4,50853
The Revenant,R,135000000.0,183635922.0,8.1,0.0,556.0,406020,1188.0,190000,57108,29000.0,27000.0,733.0,0.0,"Adventure,Drama,Thriller","Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson",2015,183.64,156,8.0,499424
The Bourne Ultimatum,PG-13,110000000.0,227137090.0,8.1,0.0,329.0,491077,820.0,0,17369,13000.0,897.0,883.0,521.0,"Action,Mystery,Thriller","Matt Damon, Edgar Ramírez, Joan Allen, Julia Stiles",2007,227.14,115,8.1,525700
Kung Fu Panda,PG,130000000.0,215395021.0,7.6,0.0,266.0,307029,360.0,6000,12754,11000.0,967.0,562.0,54.0,"Animation,Action,Adventure","Jack Black, Ian McShane,Angelina Jolie, Dustin Hoffman",2008,215.4,92,7.6,329788
Ant-Man,PG-13,130000000.0,180191634.0,7.4,6.0,517.0,313866,549.0,61000,5730,2000.0,2000.0,680.0,235.0,"Action,Adventure,Comedy","Paul Rudd, Michael Douglas, Corey Stoll, Evangeline Lilly",2015,180.19,117,7.3,368912
The Hunger Games: Catching Fire,PG-13,130000000.0,424645577.0,7.6,1.0,502.0,498397,706.0,82000,49355,34000.0,14000.0,523.0,508.0,"Action,Adventure,Mystery","Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Philip Seymour Hoffman",2013,424.65,146,7.6,525646
Home,PG,135000000.0,177343675.0,6.7,0.0,165.0,70121,214.0,26000,17883,17000.0,523.0,183.0,12.0,"Animation,Adventure,Comedy","Jim Parsons, Rihanna, Steve Martin, Jennifer Lopez",2015,177.34,94,6.7,77447
Home,PG,135000000.0,177343675.0,6.7,0.0,165.0,70133,214.0,26000,17883,17000.0,523.0,183.0,12.0,"Animation,Adventure,Comedy","Jim Parsons, Rihanna, Steve Martin, Jennifer Lopez",2015,177.34,94,6.7,77447
Home,PG,135000000.0,177343675.0,6.7,0.0,165.0,70136,214.0,26000,17883,17000.0,523.0,183.0,12.0,"Animation,Adventure,Comedy","Jim Parsons, Rihanna, Steve Martin, Jennifer Lopez",2015,177.34,94,6.7,77447
Salt,PG-13,110000000.0,118311368.0,6.4,1.0,330.0,245621,514.0,23000,12406,11000.0,702.0,282.0,176.0,"Action,Crime,Mystery","Angelina Jolie, Liev Schreiber, Chiwetel Ejiofor, Daniel Olbrychski",2010,118.31,100,6.4,255813
Noah,PG-13,125000000.0,101160529.0,5.8,2.0,434.0,200022,1240.0,71000,32355,12000.0,9000.0,8000.0,0.0,"Action,Adventure,Drama","Russell Crowe, Jennifer Connelly, Anthony Hopkins, Emma Watson",2014,101.16,138,5.8,209700
Australia,PG-13,130000000.0,49551662.0,6.6,0.0,245.0,102338,450.0,0,921,309.0,284.0,165.0,1000.0,"Adventure,Drama,Romance","Nicole Kidman, Hugh Jackman, Shea Adams, Eddie Baroo",2008,49.55,165,6.6,106115
After Earth,PG-13,130000000.0,60522097.0,4.9,0.0,349.0,158720,744.0,37000,14168,10000.0,943.0,894.0,0.0,"Action,Adventure,Sci-Fi","Jaden Smith, David Denman, Will Smith,Sophie Okonedo",2013,60.52,100,4.9,166512
Night at the Museum: Secret of the Tomb,PG,127000000.0,113733726.0,6.2,7.0,154.0,67223,126.0,11000,53587,49000.0,3000.0,1000.0,189.0,"Adventure,Comedy,Family","Ben Stiller, Robin Williams, Owen Wilson, Dick Van Dyke",2014,113.73,98,6.2,74886
Megamind,PG,130000000.0,148337537.0,7.3,3.0,233.0,172754,187.0,13000,46120,24000.0,11000.0,8000.0,96.0,"Animation,Action,Comedy","Will Ferrell, Jonah Hill, Brad Pitt, Tina Fey",2010,148.34,95,7.3,183926
The Hunger Games: Mockingjay - Part 1,PG-13,125000000.0,337103873.0,6.7,1.0,403.0,305008,591.0,52000,81385,34000.0,22000.0,14000.0,508.0,"Action,Adventure,Sci-Fi","Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson",2014,337.1,123,6.7,331902
The Da Vinci Code,PG-13,125000000.0,217536138.0,6.6,2.0,294.0,314253,1966.0,0,16008,15000.0,574.0,362.0,2000.0,"Mystery,Thriller","Tom Hanks, Audrey Tautou, Jean Reno, Ian McKellen",2006,217.54,149,6.6,338280
Fast Five,PG-13,125000000.0,209805005.0,7.3,3.0,342.0,284792,366.0,54000,55345,23000.0,14000.0,12000.0,681.0,"Action,Crime,Thriller","Vin Diesel, Paul Walker, Dwayne Johnson, Jordana Brewster",2011,209.81,131,7.3,300803
Sherlock Holmes: A Game of Shadows,PG-13,125000000.0,186830669.0,7.5,2.0,382.0,338635,412.0,39000,22403,21000.0,979.0,154.0,0.0,"Action,Adventure,Crime","Robert Downey Jr., Jude Law, Jared Harris, Rachel McAdams",2011,186.83,129,7.5,357436
Clash of the Titans,PG-13,125000000.0,163192114.0,5.8,0.0,344.0,229679,637.0,15000,18003,14000.0,1000.0,850.0,255.0,"Action,Adventure,Fantasy","Sam Worthington, Liam Neeson, Ralph Fiennes,Jason Flemyng",2010,163.19,106,5.8,238206
Clash of the Titans,PG-13,125000000.0,163192114.0,5.8,0.0,344.0,229687,637.0,15000,18003,14000.0,1000.0,850.0,255.0,"Action,Adventure,Fantasy","Sam Worthington, Liam Neeson, Ralph Fiennes,Jason Flemyng",2010,163.19,106,5.8,238206
Total Recall,R,65000000.0,119412921.0,7.5,0.0,196.0,240241,391.0,0,1441,605.0,308.0,217.0,719.0,"Action,Adventure,Mystery","Colin Farrell, Bokeem Woodbine, Bryan Cranston,Kate Beckinsale",2012,58.88,118,6.3,210965
Total Recall,R,65000000.0,119412921.0,7.5,0.0,196.0,240241,391.0,0,1441,605.0,308.0,217.0,719.0,"Action,Adventure,Mystery","Colin Farrell, Bokeem Woodbine, Bryan Cranston,Kate Beckinsale",2012,58.88,118,6.3,210965
The Bourne Legacy,PG-13,125000000.0,113165635.0,6.7,0.0,436.0,229823,504.0,31000,12175,10000.0,826.0,602.0,209.0,"Action,Adventure,Mystery","Jeremy Renner, Rachel Weisz, Edward Norton, Scott Glenn",2012,113.17,135,6.7,245374
Life of Pi,PG,120000000.0,124976634.0,8.0,0.0,552.0,440084,755.0,122000,2121,774.0,358.0,341.0,0.0,"Adventure,Drama,Fantasy","Suraj Sharma, Irrfan Khan, Adil Hussain, Tabu",2012,124.98,127,7.9,471109
Ghost Rider,PG-13,110000000.0,115802596.0,5.2,1.0,276.0,182661,681.0,0,14017,12000.0,701.0,402.0,160.0,"Action,Fantasy,Thriller","Nicolas Cage, Eva Mendes, Sam Elliott, Matt Long",2007,115.8,114,5.2,190673
Jason Bourne,PG-13,120000000.0,108521835.0,7.1,0.0,267.0,40123,297.0,31000,13752,13000.0,365.0,265.0,521.0,"Action,Thriller","Matt Damon, Tommy Lee Jones, Alicia Vikander,Vincent Cassel",2016,162.16,123,6.7,150823
Prometheus,R,130000000.0,126464904.0,7.0,0.0,775.0,456260,2326.0,97000,24098,13000.0,9000.0,641.0,0.0,"Adventure,Mystery,Sci-Fi","Noomi Rapace, Logan Marshall-Green, Michael Fassbender, Charlize Theron",2012,126.46,124,7.0,485820
RoboCop,PG-13,100000000.0,58607007.0,6.2,0.0,492.0,182899,630.0,60000,14161,10000.0,2000.0,1000.0,294.0,"Action,Crime,Sci-Fi","Joel Kinnaman, Gary Oldman, Michael Keaton, Abbie Cornish",2014,58.61,117,6.2,190833
RoboCop,PG-13,100000000.0,58607007.0,6.2,0.0,492.0,182910,630.0,60000,14160,10000.0,2000.0,1000.0,294.0,"Action,Crime,Sci-Fi","Joel Kinnaman, Gary Oldman, Michael Keaton, Abbie Cornish",2014,58.61,117,6.2,190833
Oblivion,PG-13,120000000.0,89021735.0,7.0,0.0,539.0,387436,892.0,71000,22004,11000.0,10000.0,1000.0,364.0,"Action,Adventure,Mystery","Tom Cruise, Morgan Freeman, Andrea Riseborough, Olga Kurylenko",2013,89.02,124,7.0,410125
The Wolverine,PG-13,120000000.0,132550960.0,6.7,1.0,440.0,328067,533.0,68000,23755,20000.0,992.0,929.0,446.0,"Action,Adventure,Sci-Fi","Hugh Jackman, Will Yun Lee, Tao Okamoto, Rila Fukushima",2013,132.55,126,6.7,355362
The Huntsman: Winter's War,PG-13,115000000.0,47952020.0,6.1,2.0,231.0,37750,134.0,16000,46719,26000.0,11000.0,9000.0,19.0,"Action,Adventure,Drama","Chris Hemsworth, Jessica Chastain, Charlize Theron, Emily Blunt",2016,47.95,114,6.1,66766
Teenage Mutant Ninja Turtles,PG-13,125000000.0,190871240.0,5.9,0.0,348.0,167085,491.0,62000,2690,833.0,809.0,429.0,473.0,"Action,Adventure,Comedy","Megan Fox, Will Arnett, William Fichtner, Noel Fisher",2014,190.87,101,5.9,178527
Teenage Mutant Ninja Turtles,PG-13,125000000.0,190871240.0,5.9,0.0,348.0,167089,491.0,62000,2690,833.0,809.0,429.0,473.0,"Action,Adventure,Comedy","Megan Fox, Will Arnett, William Fichtner, Noel Fisher",2014,190.87,101,5.9,178527
Gravity,PG-13,100000000.0,274084951.0,7.8,0.0,738.0,582917,1885.0,147000,87,39.0,23.0,13.0,0.0,"Drama,Sci-Fi,Thriller","Sandra Bullock, George Clooney, Ed Harris, Orto Ignatiussen",2013,274.08,91,7.8,622089
Fantastic Four,PG-13,120000000.0,56114221.0,4.3,3.0,369.0,110486,695.0,41000,1261,596.0,360.0,78.0,128.0,"Action,Adventure,Sci-Fi","Miles Teller, Kate Mara, Michael B. Jordan, Jamie Bell",2015,56.11,100,4.3,121847
Fantastic Four,PG-13,120000000.0,56114221.0,4.3,3.0,369.0,110486,695.0,41000,1261,596.0,360.0,78.0,128.0,"Action,Adventure,Sci-Fi","Miles Teller, Kate Mara, Michael B. Jordan, Jamie Bell",2015,56.11,100,4.3,121847
San Andreas,PG-13,110000000.0,155181732.0,6.1,0.0,358.0,147497,499.0,52000,16718,12000.0,2000.0,884.0,62.0,"Action,Adventure,Drama","Dwayne Johnson, Carla Gugino, Alexandra Daddario,Colton Haynes",2015,155.18,114,6.1,161396
Insurgent,PG-13,110000000.0,129995817.0,6.3,0.0,263.0,154621,258.0,27000,22622,14000.0,5000.0,1000.0,124.0,"Adventure,Sci-Fi,Thriller","Shailene Woodley, Ansel Elgort, Theo James,Kate Winslet",2015,130.0,119,6.3,171970
300: Rise of an Empire,R,110000000.0,106369117.0,6.2,0.0,366.0,225273,523.0,71000,10583,6000.0,1000.0,1000.0,263.0,"Action,Drama,Fantasy","Sullivan Stapleton, Eva Green, Lena Headey, Hans Matheson",2014,106.37,102,6.2,237887
Allegiant,PG-13,110000000.0,66002193.0,5.8,3.0,181.0,44296,144.0,12000,12452,6000.0,5000.0,943.0,124.0,"Action,Adventure,Mystery","Shailene Woodley, Theo James, Jeff Daniels,Naomi Watts",2016,66.0,120,5.7,70504
Real Steel,PG-13,110000000.0,85463309.0,7.1,1.0,327.0,254841,426.0,36000,22254,20000.0,929.0,544.0,189.0,"Action,Drama,Family","Hugh Jackman, Evangeline Lilly, Dakota Goyo,Anthony Mackie",2011,85.46,127,7.1,264480
Ender's Game,PG-13,110000000.0,61656849.0,6.7,4.0,326.0,184561,554.0,123000,12908,11000.0,635.0,430.0,151.0,"Action,Sci-Fi","Harrison Ford, Asa Butterfield, Hailee Steinfeld, Abigail Breslin",2013,61.66,114,6.7,194236
Live Free or Die Hard,PG-13,110000000.0,134520804.0,7.2,1.0,354.0,336235,782.0,0,13961,13000.0,300.0,297.0,235.0,"Action,Adventure,Thriller","Bruce Willis, Justin Long, Timothy Olyphant, Maggie Q",2007,134.52,128,7.2,347567
The Princess and the Frog,G,105000000.0,104374107.0,7.1,0.0,228.0,89351,214.0,5000,2480,852.0,578.0,525.0,63.0,"Animation,Adventure,Comedy","Anika Noni Rose, Keith David, Oprah Winfrey, Bruno Campos",2009,104.37,97,7.1,95480
The Martian,PG-13,108000000.0,228430993.0,8.1,1.0,568.0,472488,1023.0,153000,14831,13000.0,801.0,372.0,0.0,"Adventure,Drama,Sci-Fi","Matt Damon, Jessica Chastain, Kristen Wiig, Kate Mara",2015,228.43,144,8.0,556097
Casino Royale,PG-13,150000000.0,167007184.0,8.0,1.0,400.0,470483,2301.0,0,9125,6000.0,1000.0,834.0,258.0,"Action,Adventure,Thriller","Daniel Craig, Eva Green, Judi Dench, Jeffrey Wright",2006,167.01,144,8.0,495106
Casino Royale,PG-13,150000000.0,167007184.0,8.0,1.0,400.0,470501,2301.0,0,9125,6000.0,1000.0,834.0,258.0,"Action,Adventure,Thriller","Daniel Craig, Eva Green, Judi Dench, Jeffrey Wright",2006,167.01,144,8.0,495106
Public Enemies,R,100000000.0,97030725.0,7.0,1.0,357.0,230931,585.0,0,64599,40000.0,23000.0,1000.0,0.0,"Biography,Crime,Drama","Christian Bale, Johnny Depp, Christian Stolte, Jason Clarke",2009,97.03,140,7.0,240323
American Gangster,R,100000000.0,130127620.0,7.8,0.0,300.0,324671,458.0,0,20354,18000.0,782.0,561.0,0.0,"Biography,Crime,Drama","Denzel Washington, Russell Crowe, Chiwetel Ejiofor,Josh Brolin",2007,130.13,157,7.8,337835
The Other Guys,PG-13,100000000.0,119219978.0,6.7,2.0,265.0,189806,316.0,16000,20233,12000.0,8000.0,107.0,285.0,"Action,Comedy,Crime","Will Ferrell, Mark Wahlberg, Derek Jeter, Eva Mendes",2010,119.22,107,6.7,199900
Django Unchained,R,100000000.0,162804648.0,8.5,1.0,765.0,955174,1193.0,199000,40978,29000.0,11000.0,265.0,16000.0,"Drama,Western","Jamie Foxx, Christoph Waltz, Leonardo DiCaprio,Kerry Washington",2012,162.8,165,8.4,1039115
The Expendables 2,R,92000000.0,85017401.0,6.7,3.0,383.0,246803,474.0,108000,57881,26000.0,13000.0,13000.0,165.0,"Action,Adventure,Thriller","Sylvester Stallone, Liam Hemsworth, Randy Couture,Jean-Claude Van Damme",2012,85.02,103,6.6,257395
Blood Diamond,R,100000000.0,57366262.0,8.0,0.0,166.0,400292,657.0,14000,33160,29000.0,3000.0,452.0,380.0,"Adventure,Drama,Thriller","Leonardo DiCaprio, Djimon Hounsou, Jennifer Connelly, Kagiso Kuypers",2006,57.37,143,8.0,422014
The Wolf of Wall Street,R,100000000.0,116866727.0,8.2,3.0,606.0,780588,1138.0,138000,46057,29000.0,11000.0,4000.0,17000.0,"Biography,Comedy,Crime","Leonardo DiCaprio, Jonah Hill, Margot Robbie,Matthew McConaughey",2013,116.87,180,8.2,865134
Cloud Atlas,R,102000000.0,27098580.0,7.5,5.0,511.0,284825,828.0,124000,22686,15000.0,5000.0,1000.0,670.0,"Drama,Sci-Fi","Tom Hanks, Halle Berry, Hugh Grant, Hugo Weaving",2012,27.1,172,7.5,298651
Hercules,PG-13,100000000.0,72660029.0,6.0,0.0,245.0,115687,269.0,21000,16235,12000.0,3000.0,467.0,420.0,"Action,Adventure","Dwayne Johnson, John Hurt, Ian McShane, Joseph Fiennes",2014,72.66,98,6.0,122838
Hercules,PG-13,100000000.0,72660029.0,6.0,0.0,245.0,115687,269.0,21000,16235,12000.0,3000.0,467.0,420.0,"Action,Adventure","Dwayne Johnson, John Hurt, Ian McShane, Joseph Fiennes",2014,72.66,98,6.0,122838
The Expendables 3,PG-13,90000000.0,39292022.0,6.1,15.0,320.0,127258,351.0,56000,52610,26000.0,13000.0,11000.0,385.0,"Action,Adventure,Thriller","Sylvester Stallone, Jason Statham, Jet Li, Antonio Banderas",2014,39.29,126,6.1,137568
Point Break,PG-13,105000000.0,28772222.0,5.3,1.0,163.0,33953,163.0,37000,3962,1000.0,897.0,848.0,19.0,"Action,Crime,Sport","Edgar Ramírez, Luke Bracey, Ray Winstone, Teresa Palmer",2015,28.77,114,5.3,44553
Point Break,PG-13,105000000.0,28772222.0,5.3,1.0,163.0,33958,163.0,37000,3962,1000.0,897.0,848.0,19.0,"Action,Crime,Sport","Edgar Ramírez, Luke Bracey, Ray Winstone, Teresa Palmer",2015,28.77,114,5.3,44553
In the Heart of the Sea,PG-13,100000000.0,24985612.0,7.0,0.0,289.0,71782,161.0,27000,28328,26000.0,911.0,571.0,2000.0,"Action,Adventure,Biography","Chris Hemsworth, Cillian Murphy, Brendan Gleeson,Ben Whishaw",2015,24.99,122,6.9,90372
Sex and the City 2,R,100000000.0,95328937.0,4.3,4.0,221.0,59581,293.0,0,4555,962.0,740.0,722.0,127.0,"Comedy,Drama,Romance","Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon",2010,95.33,146,4.3,62403
Cinderella,PG,95000000.0,201148159.0,7.0,1.0,343.0,103737,322.0,56000,4671,2000.0,520.0,502.0,0.0,"Drama,Family,Fantasy","Lily James, Cate Blanchett, Richard Madden,Helena Bonham Carter",2015,201.15,105,7.0,117018
Cinderella,PG,95000000.0,201148159.0,7.0,1.0,343.0,103749,323.0,56000,4671,2000.0,520.0,502.0,0.0,"Drama,Family,Fantasy","Lily James, Cate Blanchett, Richard Madden,Helena Bonham Carter",2015,201.15,105,7.0,117018
The Lovely Bones,PG-13,65000000.0,43982842.0,6.7,1.0,308.0,125109,593.0,16000,2370,873.0,560.0,310.0,0.0,"Drama,Fantasy,Thriller","Rachel Weisz, Mark Wahlberg, Saoirse Ronan, Susan Sarandon",2009,43.98,135,6.7,130702
The Lovely Bones,PG-13,65000000.0,43982842.0,6.7,1.0,308.0,125114,593.0,16000,2369,873.0,559.0,310.0,0.0,"Drama,Fantasy,Thriller","Rachel Weisz, Mark Wahlberg, Saoirse Ronan, Susan Sarandon",2009,43.98,135,6.7,130702
Seventh Son,PG-13,95000000.0,17176900.0,5.5,4.0,175.0,54501,154.0,16000,17098,12000.0,3000.0,766.0,44.0,"Action,Adventure,Fantasy","Ben Barnes, Julianne Moore, Jeff Bridges, Alicia Vikander",2014,17.18,102,5.5,59958
Transcendence,PG-13,100000000.0,23014504.0,6.3,1.0,355.0,172707,462.0,37000,54031,40000.0,11000.0,968.0,0.0,"Drama,Mystery,Romance","Johnny Depp, Rebecca Hall, Morgan Freeman, Cillian Murphy",2014,23.01,119,6.3,184564
Rise of the Planet of the Apes,PG-13,93000000.0,176740650.0,7.6,0.0,529.0,403836,646.0,47000,13118,11000.0,1000.0,779.0,81.0,"Action,Drama,Sci-Fi","James Franco, Andy Serkis, Freida Pinto, Karin Konoval",2011,176.74,105,7.6,422290
Percy Jackson & the Olympians: The Lightning Thief,PG,95000000.0,88761720.0,5.9,0.0,217.0,141179,419.0,9000,14024,8000.0,3000.0,1000.0,0.0,"Adventure,Family,Fantasy","Logan Lerman, Kevin McKidd, Steve Coogan,Brandon T. Jackson",2010,88.76,118,5.9,148949
Unstoppable,PG-13,100000000.0,81557479.0,6.8,1.0,316.0,149947,326.0,18000,25780,18000.0,3000.0,1000.0,12000.0,"Action,Thriller","Denzel Washington, Chris Pine, Rosario Dawson, Ethan Suplee",2010,81.56,98,6.8,157499
The Secret Life of Walter Mitty,PG,90000000.0,58229120.0,7.3,1.0,362.0,236421,515.0,70000,5095,3000.0,806.0,423.0,0.0,"Adventure,Comedy,Drama","Ben Stiller, Kristen Wiig, Jon Daly, Kathryn Hahn",2013,58.23,114,7.3,249877
The Departed,R,90000000.0,132373442.0,8.5,0.0,352.0,873649,2054.0,29000,45648,29000.0,13000.0,1000.0,17000.0,"Crime,Drama,Thriller","Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg",2006,132.37,151,8.5,937414
Tropic Thunder,R,92000000.0,110416702.0,7.0,3.0,308.0,307539,577.0,0,23484,21000.0,1000.0,918.0,0.0,"Action,Comedy","Ben Stiller, Jack Black, Robert Downey Jr., Jeff Kahn",2008,110.42,107,7.0,321442
The Girl with the Dragon Tattoo,R,90000000.0,102515793.0,7.8,1.0,517.0,330152,632.0,54000,20388,18000.0,1000.0,585.0,21000.0,"Crime,Drama,Mystery","Daniel Craig, Rooney Mara, Christopher Plummer,Stellan Skarsgård",2011,102.52,158,7.8,348551
Sherlock Holmes,PG-13,90000000.0,209019489.0,7.6,3.0,415.0,477300,621.0,20000,23996,21000.0,979.0,727.0,0.0,"Action,Adventure,Crime","Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong",2009,209.02,128,7.6,501769
You Don't Mess with the Zohan,PG-13,90000000.0,100018837.0,5.5,0.0,198.0,156348,380.0,0,13446,11000.0,600.0,503.0,221.0,"Action,Comedy","Adam Sandler, John Turturro, Emmanuelle Chriqui,Nick Swardson",2008,100.02,113,5.5,163144
Pixels,PG-13,88000000.0,78747585.0,5.6,0.0,253.0,89770,342.0,39000,35367,22000.0,11000.0,1000.0,0.0,"Action,Comedy,Family","Adam Sandler, Kevin James, Michelle Monaghan,Peter Dinklage",2015,78.75,105,5.6,101092
Percy Jackson: Sea of Monsters,PG,90000000.0,68558662.0,5.9,0.0,183.0,86627,204.0,28000,10882,8000.0,956.0,918.0,87.0,"Adventure,Family,Fantasy","Logan Lerman, Alexandra Daddario, Brandon T. Jackson, Nathan Fillion",2013,68.56,106,5.9,91684
Now You See Me 2,PG-13,90000000.0,64685359.0,6.9,6.0,196.0,40862,139.0,15000,23031,11000.0,11000.0,886.0,209.0,"Action,Adventure,Comedy","Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Dave Franco",2016,65.03,129,6.5,156567
